setting,n_valid_rows,avg_similarity_to_ground_truth,median_similarity_to_ground_truth,exact_match_rate,avg_minimality_score,unsafe_removed_rate,llm_safe_rate,llm_unclear_rate,avg_validity_score,ok_braces_rate,avg_edit_lines,median_edit_lines,avg_added_lines,avg_removed_lines,avg_prompt_chars,avg_output_chars,avg_prompt_tokens_est,avg_output_tokens_est
CVE only,19,0.7778886634206208,0.8169511477339612,0.0,0.12839204976446963,,0.7894736842105263,0.21052631578947367,2.6315789473684212,1.0,15.68421052631579,10.0,7.2631578947368425,8.421052631578947,1863.0,1386.7368421052631,465.75,346.6842105263158
CVE + Desc,19,0.7475129293391386,0.8117302052785924,0.0,0.11114220546602845,,0.5263157894736842,0.47368421052631576,2.189473684210526,1.0,16.05263157894737,13.0,9.210526315789474,6.842105263157895,2058.4210526315787,1491.6315789473683,514.6052631578947,372.9078947368421
